Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,CountryFull,EmailAddress,Username,Password,TelephoneNumber,Birthday,Company,Latitude,Longitude
female,Cecilia,S,Rice,750 Sigley Road,Manhattan,KS,66502,United States,CeciliaSRice@einrot.com,Begadd,Oovahw9ix,785-565-5764,6/2/1963,Earthworks Garden Kare,39.143107,-96.616177
female,Ann,E,Macias,3614 White Oak Drive,Kingsville,MO,64061,United States,AnnEMacias@teleworm.us,Figother,OhCieth6oot,816-720-1301,4/18/1931,Grodins,38.821936,-94.150309
female,Sarah,J,Stine,929 Chandler Drive,Springfield,MO,65806,United States,SarahJStine@dayrep.com,Rusten,goaRaet4ei,417-635-6471,4/6/1965,Roadhouse Grill,37.199652,-93.3011
female,Eva,M,Duncan,99 Penn Street,Camdenton,MO,65020,United States,EvaMDuncan@superrito.com,Thisseveren,laiM7aimae,573-317-0178,9/7/1935,Sampson's,37.943767,-92.698997
male,David,N,Bull,3761 Bruce Street,Saint Louis,MO,63108,United States,DavidNBull@jourrapide.com,Nincen,eeJai2ae,314-361-0949,5/28/1960,Matrix Interior Design,38.627444,-90.301291
male,Brian,D,Kelly,4173 Nutter Street,Kansas City,MO,64127,United States,BrianDKelly@teleworm.us,Monan1937,aRa3Zees,816-241-3465,7/5/1937,Zantigo,39.070883,-94.585259
female,Lori,W,Graber,1121 Lighthouse Drive,Branson,MO,65616,United States,LoriWGraber@einrot.com,Thisce,ge5aiPh8,417-330-2302,12/20/1957,Honest Air Group,36.580661,-93.257639
female,April,T,Thill,2297 Poe Lane,Lawrence,KS,66044,United States,AprilTThill@rhyta.com,Reste1966,Jai9aecelei,913-400-3079,10/12/1966,O.K. Fairbanks,39.075583,-95.308041
female,Susan,B,Pecor,2897 Bruce Street,Saint Louis,MO,63104,United States,SusanBPecor@superrito.com,Witerequinge,Sha6ohv2f,314-254-6733,7/25/1981,Golden Dawn,38.612444,-90.247227
male,Victor,A,Gregory,1366 Blane Street,Stlouis,MO,63101,United States,VictorAGregory@armyspy.com,Sibrom,yiewaeCh2Ee,314-541-4720,10/11/1958,E-zhe Source,38.552714,-90.175637
female,Carol,E,Durden,351 Chandler Drive,Billings,MO,65610,United States,CarolEDurden@armyspy.com,Puble1936,eezeij0oQuei,417-744-8634,1/3/1936,Almacs,37.098439,-93.483307
male,Francisco,A,Decker,3068 Rodney Street,O Fallon,MO,63366,United States,FranciscoADecker@superrito.com,Siblen,Ezaib9aL,636-485-9998,10/12/1967,Morville,38.786077,-90.794646
male,Gary,C,Hall,1336 Blane Street,Saint Louis,MO,63123,United States,GaryCHall@rhyta.com,Goopect,phieb6Piech,314-544-8055,9/5/1982,Pak and Save,38.591788,-90.257358
female,Geraldine,W,Cady,3859 Rodney Street,Chesterfield,MO,63005,United States,GeraldineWCady@superrito.com,Amituchens1937,bieNgah3pai,636-537-8299,12/27/1937,Jeans Unlimited,38.536708,-90.707295
male,Jason,A,Jones,3656 Henery Street,Wichita,KS,67203,United States,JasonAJones@jourrapide.com,Weate1952,She9aLeixee,316-941-6917,4/25/1952,Atlas Realty,37.752771,-97.304259
male,Richard,S,Parrish,1239 Sherman Street,Hope,KS,67451,United States,RichardSParrish@gustr.com,Ficky1945,quue3Achu6,785-965-7068,6/17/1945,Avant Garde Appraisal,38.67898,-97.15154
female,Lillian,G,Evans,3997 Oliverio Drive,Wichita,KS,67202,United States,LillianGEvans@dayrep.com,Utualloutulm,IeV5Noo5fu0,620-614-2713,6/28/1995,Olson's Market,37.597127,-97.420541
male,Clint,L,Hall,1063 Briarwood Road,Springfield,MO,65804,United States,ClintLHall@einrot.com,Joincte,eiM9ir2Je,417-820-5335,2/18/1945,Buehler Foods,37.089548,-93.219071
female,Kristin,A,Williams,4288 State Street,Saint Louis,MO,63101,United States,KristinAWilliams@fleckens.hu,Phourand,xehaeN4gee,314-224-3825,10/8/1975,Noodle Kidoodle,38.689237,-90.098646
female,Linda,G,Jackson,2684 Fairmont Avenue,Rothville,MO,64676,United States,LindaGJackson@dayrep.com,Ageatundest,oochohhoC9m,660-256-3620,12/3/1975,Red Robin Stores,39.637005,-93.06376
male,James,M,Arvizu,3725 Rodney Street,Manchester,MO,63011,United States,JamesMArvizu@teleworm.us,Whilto,Cheeloxap5,636-386-6822,3/7/1995,Crazy Tiger,39.464314,-90.328958
male,Rodger,H,Overturf,4593 Ash Avenue,Saint Louis,MO,63108,United States,RodgerHOverturf@armyspy.com,Liket1954,Rier0uo6,314-919-6648,8/18/1954,Today's Man,38.547788,-90.156293
female,Tosha,M,Sanders,2526 Twin House Lane,Jerico Springs,MO,64756,United States,ToshaMSanders@rhyta.com,Plinglors,ahgee6Ohsie,417-398-3808,11/3/1954,Tower Records,37.59493,-93.995528
female,Jackie,J,Jude,2821 Tree Frog Lane,Kansas City,MO,64106,United States,JackieJJude@superrito.com,Deprectuod,ufieyiD4eiv,816-457-4098,12/18/1966,Zantigo,39.117803,-94.546194
female,Liz,A,McElhannon,3629 Cottrill Lane,Saint Louis,MO,63109,United States,LizAMcElhannon@dayrep.com,Youbtlears,IeLainaW1Lah,314-457-9798,9/18/1987,Schaak Electronics,38.665215,-90.283179
male,Shane,J,Dunn,1202 Sherman Street,Everest,KS,66424,United States,ShaneJDunn@cuvox.de,Fropeasithey88,ohRahxai8,785-988-4749,3/1/1988,Hudson's MensWear,39.65608,-95.416988
male,Marvin,S,Wilson,4990 Twin House Lane,Niangua,MO,65713,United States,MarvinSWilson@gustr.com,Worterincur,Ler0Mu6xe4,417-473-6413,4/1/1940,Handy Dan,37.351357,-92.701199
female,Elin,L,Rodgers,2557 Twin House Lane,Powell,MO,65730,United States,ElinLRodgers@fleckens.hu,Ader1978,Meequ3EoY,417-435-1137,12/28/1978,Luria's,36.706946,-94.040819
female,Carol,M,Treiber,427 John Daniel Drive,Jefferson City,MO,65101,United States,CarolMTreiber@dayrep.com,Ofteremsery,Joh7Peix,573-636-6372,3/21/1942,McMahan's Furniture,38.414099,-92.145361
male,Kevin,C,Moore,3639 Poe Lane,Kansas City,KS,64106,United States,KevinCMoore@einrot.com,Abourth1945,AiHahf0ei,913-594-0001,2/21/1945,Record & Tape Outlet,39.127971,-94.563363
male,Anthony,V,Johnson,2348 Blair Court,Higbee,MO,65257,United States,AnthonyVJohnson@rhyta.com,Hich1963,ti2Eeneijahl,660-456-1159,4/9/1963,County Seat,39.332555,-92.566811
female,Raye,J,Markland,2280 Irving Place,Washington,MO,63090,United States,RayeJMarkland@dayrep.com,Repin1969,thie2RooR6M,636-221-6840,9/18/1969,Expo Superstore,38.511025,-91.111651
male,Patrick,F,Boone,361 Nicholas Street,Rush Center,KS,67575,United States,PatrickFBoone@einrot.com,Hostred69,goe7re8Ee,785-343-8292,6/16/1969,Irving's Sporting Goods,38.409283,-99.32142
female,Joanne,L,Carpenter,3271 Lake Forest Drive,Kansas City,KS,66223,United States,JoanneLCarpenter@gustr.com,Perclovery,Aivie6roo,913-897-1514,11/5/1977,Sambo's,39.113433,-94.678264
female,Judith,D,Caro,1768 Charter Street,Kansas City,KS,66109,United States,JudithDCaro@teleworm.us,Taim1934,foo2Auf5n,913-721-7363,7/19/1934,Keeney's,39.100373,-94.822234
female,Patricia,J,Garza,4217 Charter Street,Kansas City,KS,66215,United States,PatriciaJGarza@teleworm.us,Parliveartle,Ahxoh9ahFei,913-744-4180,5/26/1961,Krauses Sofa Factory,39.182915,-94.73249
female,Christie,W,Darby,1772 Oak Lane,Brunswick,MO,65236,United States,ChristieWDarby@armyspy.com,Mortince1981,Jahw9mah7e,660-634-2261,5/31/1981,Keeney's,39.400321,-93.138563
male,Dewey,D,Davis,4249 Tree Frog Lane,Kansas City,MO,64106,United States,DeweyDDavis@gustr.com,Kner1936,eiXud0jooh,816-512-3817,7/18/1936,Sports Town USA,39.02713,-94.627577
female,Mary,J,Smith,1646 Lighthouse Drive,Polk,MO,65727,United States,MaryJSmith@dayrep.com,Welons1984,iet1eiD1ie,417-253-2797,6/15/1984,Ardan's,37.793033,-93.355462
female,Emily,R,Smith,4209 Lake Forest Drive,Kansas City,KS,66207,United States,EmilyRSmith@teleworm.us,Thimsed,deeXie2yeSh,913-901-0032,6/19/1974,P. Samuels Men's Clothiers,39.145144,-94.676663
male,Duane,S,Whitford,854 Oak Lane,Leeton,MO,64761,United States,DuaneSWhitford@fleckens.hu,Thas1946,Biey0soo,660-653-0182,12/14/1946,Spaceage Stereo,38.527362,-93.706465
female,Rebecca,D,Monahan,986 Fairmont Avenue,Moberly,MO,65270,United States,RebeccaDMonahan@rhyta.com,Rase1965,laey5Jai,660-263-8852,5/25/1965,Club Wholesale,39.491408,-92.390505
male,Stanley,J,Storer,538 Big Elm,Kansas City,MO,64151,United States,StanleyJStorer@rhyta.com,Reech1958,ohThue1pae,816-801-3199,1/14/1958,Access Asia,39.216641,-94.655394
female,Cassandra,C,Cooper,2752 Breezewood Court,Kendall,KS,67857,United States,CassandraCCooper@armyspy.com,Swout1952,pheiTee7gac,620-373-7117,1/16/1952,John Plain,38.014608,-101.470555
male,Raymond,M,Shearin,4653 Laurel Lee,Kansas City,MO,64106,United States,RaymondMShearin@superrito.com,Thaterninew,ohC0Jiengee,660-204-5515,10/9/1949,Saturday Matinee,39.175849,-94.489681
female,Arlene,B,Hitchcock,2240 Better Street,Mission,KS,66202,United States,ArleneBHitchcock@einrot.com,Againgly,iu5Ahkeek2,913-262-4213,4/11/1990,Destiny Planners,39.094481,-94.729435
male,Calvin,D,King,210 Blair Court,Lancaster,MO,63548,United States,CalvinDKing@dayrep.com,Efuld1959,eiTh4aith,660-457-8096,6/22/1959,Home Centers,40.510223,-92.442168
female,Elinor,J,Harper,4398 Tree Frog Lane,Lenexa,MO,66215,United States,ElinorJHarper@dayrep.com,Havistries,Doo7daicoh,816-519-5177,6/21/1975,Simply Appraisals,38.850356,-94.709413
male,Joseph,E,Ott,2760 Oliverio Drive,Moundridge,KS,67107,United States,JosephEOtt@armyspy.com,Alippon,oowe2aeK,620-640-6541,2/3/1940,DGS HomeSource,38.252781,-97.516913
male,Richard,C,Mullins,1699 Chandler Drive,Springfield,MO,65806,United States,RichardCMullins@teleworm.us,Fidlen,Aideelo1oug8,417-575-2981,4/22/1979,Cellophane Square,37.116002,-93.22751
male,David,W,Warner,2598 Gandy Street,Maryland Heights,MO,63141,United States,DavidWWarner@gustr.com,Cothast,lohf2ahSie,314-985-1794,10/4/1938,American Appliance,38.775019,-90.5458
male,John,J,Lindsey,702 Chandler Drive,Springfield,MO,65804,United States,JohnJLindsey@dayrep.com,Hinger,OhbahDei5,417-650-3693,3/29/1930,Gov Mart,37.057988,-93.31065
male,Michael,C,Wilson,609 Cottrill Lane,Stlouis,MO,63101,United States,MichaelCWilson@gustr.com,Floace,taedooc3Oh,314-491-6318,12/8/1940,Asian Solutions,38.53188,-90.269491
female,Ellen,E,Nash,3869 Davis Place,Cross Timbers,MO,65634,United States,EllenENash@armyspy.com,Madmily,oW8Wi0sh,417-998-9614,12/29/1941,Flexus,38.107497,-93.161861
male,Mark,J,Gilmer,496 Nicholas Street,Hays,KS,67601,United States,MarkJGilmer@fleckens.hu,Woreavelesor,Equee8pa2mi,785-260-9641,9/7/1986,Blockbuster Music,38.917701,-99.435663
male,Angel,L,Whitten,4073 Bruce Street,Saint Louis,MO,63146,United States,AngelLWhitten@armyspy.com,Defarnefor,Aiquafa0Ae,314-318-3216,10/30/1932,Team Designers and Associates,38.720968,-90.515228
female,Heather,D,Anderson,3841 Lighthouse Drive,Springfield,MO,65804,United States,HeatherDAnderson@gustr.com,Crongety,dieguR4aim,417-300-1712,6/21/1947,Foot Quarters,37.058641,-93.287671
female,Jean,A,Redmond,3382 Mandan Road,Farmington,MO,63640,United States,JeanARedmond@jourrapide.com,Promitestake,eifaeZ2r,573-760-9314,7/5/1957,Alexander's,37.769287,-90.285282
female,Ingrid,R,Lombard,3348 Briarwood Road,Springfield,MO,65806,United States,IngridRLombard@dayrep.com,Dramuch,Theivi1eik,417-838-6523,6/9/1987,Konsili,37.187272,-93.33744
female,Johnnie,D,Hinson,392 Mandan Road,Columbia,MO,65201,United States,JohnnieDHinson@fleckens.hu,Fornevere,Ipaih7Ob,573-815-3307,12/15/1986,Jewel Mart,38.926637,-92.178546
female,Mary,C,Whipple,1164 Oak Ridge Drive,Rolla,MO,65401,United States,MaryCWhipple@fleckens.hu,Ardegia,kieQuoop7ei,573-456-0825,9/10/1931,Vinyl Fever,37.905943,-91.791396
female,Eleanor,J,Peek,2625 Blane Street,Saint Louis,MO,63108,United States,EleanorJPeek@rhyta.com,Suld1964,phaid2Oh,314-551-6202,12/29/1964,Magna Architectural Design,38.684182,-90.351544
female,Sylvia,D,Phillips,2106 Irving Place,Harvester,MO,63303,United States,SylviaDPhillips@gustr.com,Twouch,vah6eu1W,636-229-6911,11/5/1951,Star Bright Investment Group,38.740262,-90.606112
male,Michael,A,Robison,2746 Cottrill Lane,Maryland Heights,MO,63043,United States,MichaelARobison@dayrep.com,Sealithed1968,EjoH4eek,314-494-4150,7/8/1968,Stratagee,38.693469,-90.499666
male,Thomas,E,Collins,2883 Better Street,Olathe,KS,66061,United States,ThomasECollins@armyspy.com,Stoult,bu5ZeiJ2Ph,913-324-2733,9/7/1973,Muirhead's,38.89533,-94.94007
female,Deborah,D,Breece,3162 Ash Avenue,Manchester,MO,63011,United States,DeborahDBreece@rhyta.com,Dingdowas,ueX8aa8uequ,314-960-6151,2/13/1964,Wise Appraisals,39.583093,-90.35867
male,Harold,F,Wilson,4483 Henery Street,Fort Worth,KS,76102,United States,HaroldFWilson@cuvox.de,Mance1978,thaV6kaa9c,316-954-7013,1/4/1978,Mages,32.826302,-97.362379
male,Michael,K,Longmire,2595 Dog Hill Lane,Lawrence,KS,66044,United States,MichaelKLongmire@fleckens.hu,Calat1969,bee7Ea2aivi,785-690-3662,4/4/1969,Nutri G,39.101807,-95.298852
male,Minh,C,Barr,4096 Penn Street,Columbia,MO,65201,United States,MinhCBarr@teleworm.us,Inateptind1988,Ookaayu0,573-303-8623,2/20/1988,Alexander's,38.947979,-92.30373
female,Jeannette,R,Ramirez,4735 Nutter Street,Overland Park,MO,64110,United States,JeannetteRRamirez@dayrep.com,Neques,ki8Aey4ieX,816-223-3549,7/31/1943,Ransohoffs,38.919764,-94.647616
female,Leonora,J,Starks,1092 Irving Place,Hillsboro,MO,63050,United States,LeonoraJStarks@jourrapide.com,Husai1933,Iey4zah5phie,636-299-8642,5/1/1933,Club Wholesale,38.213141,-90.65576
male,Jonathan,T,Moore,4701 Lighthouse Drive,Branson,MO,65616,United States,JonathanTMoore@cuvox.de,Forcer,Vi7ohz8Yoo,417-270-1048,3/8/1991,Sammy's Record Shack,36.706499,-93.301802
female,Susan,O,Chapell,3543 Ash Avenue,Saint Louis,MO,63129,United States,SusanOChapell@superrito.com,Guat1963,Iedaevie0,314-894-6155,12/21/1963,McDuff,38.510963,-90.422148
female,Beverly,D,Ellis,2289 Oak Lane,Lock Springs,MO,64654,United States,BeverlyDEllis@armyspy.com,Stemblitrand,Sacee6siew,660-772-6754,1/22/1977,Bountiful Harvest Health Food Store,39.90794,-93.733794
male,Stuart,M,Sylvia,389 Ridge Road,Matfield Green,KS,66862,United States,StuartMSylvia@einrot.com,Aculd1959,Ia4koocei1ai,620-753-9089,4/23/1959,Janeville,38.110104,-96.487985
male,Phillip,S,Yang,4099 James Avenue,Wichita,KS,67202,United States,PhillipSYang@teleworm.us,Flarme31,Oashes2biv,316-264-4809,10/30/1931,PriceRite Warehouse Club,37.610949,-97.273898
female,Carla,J,Whitmer,1140 Nutter Street,Overlandpk,MO,66210,United States,CarlaJWhitmer@rhyta.com,Youden,iicheiZoh2e,816-309-0449,3/9/1940,Brand Names,38.694465,-90.405572
female,Yvonne,P,Simeone,50 Williams Lane,Wichita,KS,67202,United States,YvonnePSimeone@rhyta.com,Wentre,eipee9Ud4,316-712-0831,2/7/1995,Your Future Is Now,37.644317,-97.417451
